Year,Offense,Total
2019,AGGRAVATED ASSAULT,2376
2019,BURGLARY/B&E,1754
2019,MURDER & NONNEGLIGENT MANSLAUGHTER,36
2019,ROBBERY,393
2019,RAPE,189
2020,AGGRAVATED ASSAULT,3077
2020,BURGLARY/B&E,1562
2020,MURDER & NONNEGLIGENT MANSLAUGHTER,47
2020,ROBBERY,374
2017,AGGRAVATED ASSAULT,2550
2017,BURGLARY/B&E,2289
2017,MURDER & NONNEGLIGENT MANSLAUGHTER,52
2017,ROBBERY,365
2018,AGGRAVATED ASSAULT,2245
2018,BURGLARY/B&E,1971
2018,MURDER & NONNEGLIGENT MANSLAUGHTER,40
2018,ROBBERY,365
2020,RAPE,173
2018,RAPE,200
2017,RAPE,152